actor_user_id,target_user_id,persona,card_click,full_profile_open,dwell_time_ms,saved_profile,interaction_type,label,relevance_score,reasoning,created_at
11,13,culture-hiker-cafe,1,1,14200,1,SUPER_LIKE,3,88.0,"Maria Elena shares cafes, hiking, mountains, Romanian origin, and speaks EN/RO/ES — nearly identical Travel DNA. She seeks a travel buddy and friendship, John wants a long-term partner. Budget gap (luxury vs moderate) is the only friction, but the activity and vibe alignment is so strong John would SUPER_LIKE and save her profile.",2026-05-03T01:52:04.513347
11,15,culture-hiker-cafe,1,0,0,0,NO,0,12.0,"Ana's bio is off-putting and self-absorbed. Her experience type is Ultra-Luxury vs John's moderate budget. She seeks couples and relaxation, not a long-term travel partner. Language mismatch (German only). John swipes quickly after a glance at the card — no click-through.",2026-05-03T01:53:04.896656
11,17,culture-hiker-cafe,1,1,6800,0,YES,2,58.0,"Irene shares museums and ambivert social battery. Strict itinerary style clashes with John's flexible approach, and luxury budget is a mismatch. However the cultural interest and travel-openness bio are appealing. John reads the full profile, finds it moderately interesting — a cautious YES, not a super-like. Realistic inconsistency: John sometimes gives benefit of the doubt to profiles with partial overlap.",2026-05-03T01:56:40.400449
11,18,culture-hiker-cafe,1,1,9100,0,YES,2,71.0,"Ty hits the sweet spot on budget (moderate), planning style (flexible), and shares cafe-hopping, museums, and cultural experiences — John's core interests. Introvert vs ambivert is a small mismatch. Geography is far (Brazil) but John is looking for long-term travel buddy, not local meetups. Strong enough to YES with a longer dwell, but not saved — John is keeping options open.",2026-05-03T02:02:45.857010
11,19,culture-hiker-cafe,0,0,0,0,NO,0,18.0,"Jasmine is beach/islands/shopping focused with a luxury budget — almost the opposite of John's mountains/culture/moderate profile. Seeks couple-friendly travel, not a solo long-term partner. Only English spoken — no language bridge. John scrolls past without clicking.",2026-05-03T02:05:10.066826
13,17,social-adventurer-hiker,0,0,0,0,NO,0,22.0,Irene wants couple-friendly travel and strict itinerary; Maria Elena is spontaneous and seeks female travel buddies for friendship. Budget mismatch (luxury vs luxury OK) but vibe is completely off — museums/food/shopping vs adventure/road trips. Instant skip.,2026-05-03T02:15:24.281098
13,20,social-adventurer-hiker,1,1,8400,0,YES,2,63.0,"Ricardo shares hiking and road trips, countryside destinations, adventure vibe. Both enjoy group travel. Budget gap (luxury vs budget) is notable but Maria Elena is open to flexible companions. Cultural trips resonate. Good enough for YES.",2026-05-03T02:16:04.842971
13,21,social-adventurer-hiker,1,0,0,1,SAVE_ONLY,1,48.0,"Eliza seeks long-term travel and mountains/countryside, which aligns. But strict itinerary vs spontaneous and extreme sports are off-putting for Maria Elena. Saves to revisit later — latent interest without committing.",2026-05-03T02:16:51.620833
13,24,social-adventurer-hiker,0,0,0,0,NO,0,19.0,"Dayton is introvert seeking solo buddy for weekend escapes on budget; Maria Elena is extrovert seeking female companion for longer trips. Misaligned on social energy, duration, and gender preference. Skip.",2026-05-03T02:17:22.793014
13,27,social-adventurer-hiker,1,1,11600,0,YES,2,71.0,"Sloane: hiking, road trips, mountains, spontaneous, adventure — strong activity overlap with Maria Elena. Non-binary identity and budget mismatch aside, the travel energy and destinations align very well. Long dwell, solid YES.",2026-05-03T02:18:29.755766
15,27,relaxation-couples-yoga,0,0,0,0,NO,0,14.0,Sloane is hostels/budget/adventure backpacker — complete opposite of Ana's ultra-luxury relaxation and couples preference. No shared language (German vs English). Instant skip.,2026-05-03T02:19:59.853595
15,28,relaxation-couples-yoga,1,1,9700,0,YES,2,67.0,"Melvin: ambivert, moderate budget, couple-friendly, beach+city break, relaxation — strong alignment with Ana's preferences. Both open to diverse experiences. Language (English+French) accessible. A comfortable YES.",2026-05-03T02:21:43.367333
15,24,relaxation-couples-yoga,1,0,0,1,SAVE_ONLY,1,41.0,"Dayton shares hiking and flexible planning, but is introvert/budget/solo-focused — partially overlapping with Ana's yoga+hiking interest. She saves it to think about, not ready to commit. Latent interest.",2026-05-03T02:22:48.979943
15,20,relaxation-couples-yoga,0,0,0,0,NO,0,11.0,Ricardo: budget-friendly backpacker seeking group adventure in countryside — miles away from Ana's couples/relaxation/European capitals vibe. No.,2026-05-03T02:23:55.654154
